,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,kapaa,US,22.0752,-159.319,77.32,87,100,14.97,light rain
1,saint-pierre,RE,-21.3393,55.4781,71.28,71,75,4.61,broken clouds
2,trofors,NO,65.5333,13.4063,53.47,88,100,4.72,light rain
3,chardara,KZ,41.2547,67.9692,87.67,20,0,14.65,clear sky
4,babu,CN,24.4167,111.5167,81.61,75,99,2.46,overcast clouds
5,ancud,CL,-41.8697,-73.8203,42.22,80,72,7.76,broken clouds
6,butaritari,KI,3.0707,172.7902,81.48,81,59,17.63,light rain
7,new norfolk,AU,-42.7826,147.0587,45.72,90,41,2.33,scattered clouds
8,yar-sale,RU,66.8333,70.8333,56.88,63,100,11.1,overcast clouds
9,yantzaza,EC,-3.8278,-78.7594,82.18,55,43,1.63,scattered clouds
10,mayo,US,38.8876,-76.5119,88.03,55,40,6.91,scattered clouds
11,talnakh,RU,69.4865,88.3972,58.21,63,100,3.42,overcast clouds
12,hobart,AU,-42.8794,147.3294,46.06,96,75,4.61,fog
13,rikitea,PF,-23.1203,-134.9692,66.74,83,100,6.85,moderate rain
14,qaanaaq,GL,77.484,-69.3632,43.16,87,99,6.73,overcast clouds
15,punta arenas,CL,-53.15,-70.9167,35.71,87,75,4.61,light intensity drizzle rain
16,bredasdorp,ZA,-34.5322,20.0403,58.57,68,85,8.72,overcast clouds
17,akureyri,IS,65.6835,-18.0878,53.53,66,40,17.27,scattered clouds
18,masallatah,LY,32.6167,14.0,80.87,52,0,15.35,clear sky
19,acapulco,MX,16.8634,-99.8901,82.22,78,75,4.61,broken clouds
20,cape town,ZA,-33.9258,18.4232,64.38,71,75,5.75,broken clouds
21,aberdeen,GB,57.1437,-2.0981,64.65,82,75,6.91,broken clouds
22,vaini,TO,-21.2,-175.2,76.75,79,2,20.45,clear sky
23,rio grande,BR,-32.035,-52.0986,59.11,93,99,14.56,overcast clouds
24,sinnamary,GF,5.3833,-52.95,84.24,69,56,10.51,broken clouds
25,ushuaia,AR,-54.8,-68.3,31.62,80,20,3.44,few clouds
26,pevek,RU,69.7008,170.3133,33.67,86,5,12.88,clear sky
27,bethel,US,41.3712,-73.414,82.89,69,75,4.61,broken clouds
28,lebu,CL,-37.6167,-73.65,43.48,83,99,10.85,overcast clouds
29,lincoln,US,40.8,-96.667,85.12,57,0,12.66,clear sky
30,adrar,MR,20.5022,-10.0711,108.54,13,7,6.4,clear sky
31,tura,IN,25.5198,90.2201,78.39,86,2,2.13,clear sky
32,nuuk,GL,64.1835,-51.7216,54.21,62,40,8.05,scattered clouds
33,saint-francois,FR,46.4154,3.9054,90.84,29,0,11.5,clear sky
34,albany,US,42.6001,-73.9662,77.27,65,8,6.26,clear sky
35,puerto baquerizo moreno,EC,-0.9,-89.6,72.59,78,40,6.91,scattered clouds
36,nikolskoye,RU,59.7035,30.7861,60.8,88,74,6.62,broken clouds
37,kodiak,US,57.79,-152.4072,54.91,88,100,3.44,overcast clouds
38,hurricane,US,37.1753,-113.2899,95.34,33,71,2.13,broken clouds
