City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Shelburne,CA,2022-07-12 17:23:58,44.0787,-80.2041,72.75,90,87,16.02
1,Tautira,PF,2022-07-12 17:23:58,-17.7333,-149.15,76.12,82,30,18.45
2,Hienghene,NC,2022-07-12 17:21:22,-20.6833,164.9333,71.04,93,92,6.89
3,Ushuaia,AR,2022-07-12 17:23:59,-54.8,-68.3,38.86,81,75,11.5
4,Fortuna,US,2022-07-12 17:23:59,40.5982,-124.1573,59.92,94,100,4.79
5,Chokurdakh,RU,2022-07-12 17:24:00,70.6333,147.9167,47.88,92,100,11.01
6,Umm Lajj,SA,2022-07-12 17:24:00,25.0213,37.2685,90.27,52,69,7.23
7,Lukulu,ZM,2022-07-12 17:24:00,-14.3707,23.242,66.9,33,1,5.64
8,Chuy,UY,2022-07-12 17:24:01,-33.6971,-53.4616,49.8,65,87,11.65
9,Lorengau,PG,2022-07-12 17:24:01,-2.0226,147.2712,81.37,79,91,8.39
10,Vaini,TO,2022-07-12 17:24:01,-21.2,-175.2,71.76,100,40,6.91
11,Sao Filipe,CV,2022-07-12 17:24:02,14.8961,-24.4956,75.24,80,18,7.38
12,Natal,BR,2022-07-12 17:24:02,-5.795,-35.2094,88.02,58,20,16.11
13,Disna,BY,2022-07-12 17:24:02,55.568,28.1971,56.75,86,93,13.94
14,Mataura,NZ,2022-07-12 17:24:03,-46.1927,168.8643,43.48,98,100,4.32
15,Padang,ID,2022-07-12 17:24:03,-0.9492,100.3543,77.54,89,81,5.19
16,Rabak,SD,2022-07-12 17:24:03,13.1809,32.74,84.11,53,100,5.77
17,Ribeira Grande,PT,2022-07-12 17:24:04,38.5167,-28.7,77.4,65,40,12.66
18,Namibe,AO,2022-07-12 17:24:04,-15.1961,12.1522,65.75,79,4,10.96
19,Tiksi,RU,2022-07-12 17:24:05,71.6872,128.8694,34.95,98,100,11.07
20,Sfantu Gheorghe,RO,2022-07-12 17:21:34,45.8667,25.7833,65.93,49,28,6.33
21,Iqaluit,CA,2022-07-12 17:21:57,63.7506,-68.5145,56.93,72,100,5.75
22,Hermanus,ZA,2022-07-12 17:24:05,-34.4187,19.2345,52.81,77,0,11.41
23,Arraial Do Cabo,BR,2022-07-12 17:24:06,-22.9661,-42.0278,87.76,35,0,8.05
24,Rikitea,PF,2022-07-12 17:23:12,-23.1203,-134.9692,74.98,71,67,15.93
25,Punta Arenas,CL,2022-07-12 17:22:27,-53.15,-70.9167,32.11,93,100,4.61
26,Tasiilaq,GL,2022-07-12 17:24:06,65.6145,-37.6368,51.96,89,99,5.46
27,Cerro Punta,PA,2022-07-12 17:24:07,8.85,-82.5667,63.54,76,96,1.79
28,Cidreira,BR,2022-07-12 17:24:07,-30.1811,-50.2056,54.05,73,84,15.93
29,Faanui,PF,2022-07-12 17:24:07,-16.4833,-151.75,78.13,71,3,6.62
30,Vouliagmeni,GR,2022-07-12 17:24:08,37.8167,23.7833,85.44,48,20,12.66
